,id,date,machine_name,region_id,sex,sdi,baseline_days,status,time
0,2016-04-04_17-39-22_033aee|01,2016-04-04,ETHOSCOPE_033,1,F,10,4,OK,17-39-22
1,2016-04-04_17-39-22_033aee|04,2016-04-04,ETHOSCOPE_033,4,M,0,4,OK,17-39-22
2,2016-04-04_17-39-05_009aee|01,2016-04-04,ETHOSCOPE_009,1,F,10,4,OK,17-39-05
3,2016-04-04_17-39-05_009aee|04,2016-04-04,ETHOSCOPE_009,4,F,0,4,OK,17-39-05
4,2016-04-04_17-39-05_009aee|07,2016-04-04,ETHOSCOPE_009,7,F,10,4,OK,17-39-05
5,2016-04-04_17-39-05_009aee|09,2016-04-04,ETHOSCOPE_009,9,M,10,4,OK,17-39-05
6,2016-04-04_17-39-05_009aee|18,2016-04-04,ETHOSCOPE_009,18,F,10,4,OK,17-39-05
7,2016-04-04_17-39-52_035aee|01,2016-04-04,ETHOSCOPE_035,1,M,10,4,OK,17-39-52
8,2016-04-04_17-39-52_035aee|06,2016-04-04,ETHOSCOPE_035,6,M,0,4,OK,17-39-52
9,2016-04-04_17-39-52_035aee|08,2016-04-04,ETHOSCOPE_035,8,M,0,4,OK,17-39-52
10,2016-04-04_17-39-52_035aee|09,2016-04-04,ETHOSCOPE_035,9,M,10,4,OK,17-39-52
11,2016-04-04_17-39-52_035aee|14,2016-04-04,ETHOSCOPE_035,14,M,10,4,OK,17-39-52
12,2016-04-04_17-39-52_035aee|17,2016-04-04,ETHOSCOPE_035,17,F,0,4,OK,17-39-52
13,2016-04-04_17-38-27_007aee|06,2016-04-04,ETHOSCOPE_007,6,M,0,4,OK,17-38-27
14,2016-04-04_17-38-27_007aee|07,2016-04-04,ETHOSCOPE_007,7,F,10,4,OK,17-38-27
15,2016-04-04_17-38-27_007aee|09,2016-04-04,ETHOSCOPE_007,9,M,10,4,OK,17-38-27
16,2016-04-04_17-38-27_007aee|14,2016-04-04,ETHOSCOPE_007,14,M,10,4,OK,17-38-27
17,2016-04-04_17-38-27_007aee|18,2016-04-04,ETHOSCOPE_007,18,M,10,4,OK,17-38-27
18,2016-04-04_17-38-27_007aee|20,2016-04-04,ETHOSCOPE_007,20,F,10,4,OK,17-38-27
19,2016-04-04_17-38-06_019aee|07,2016-04-04,ETHOSCOPE_019,7,F,10,4,OK,17-38-06
20,2016-04-04_17-38-06_019aee|12,2016-04-04,ETHOSCOPE_019,12,M,10,4,OK,17-38-06
21,2016-04-04_17-38-06_019aee|17,2016-04-04,ETHOSCOPE_019,17,M,0,4,OK,17-38-06
22,2016-04-04_17-38-06_019aee|20,2016-04-04,ETHOSCOPE_019,20,F,10,4,OK,17-38-06
23,2016-04-11_15-07-58_033aee|01,2016-04-11,ETHOSCOPE_033,1,M,10,4,OK,15-07-58
24,2016-04-11_15-07-58_033aee|07,2016-04-11,ETHOSCOPE_033,7,M,10,4,OK,15-07-58
